food_id,food_name,brand,categories,countries,collection_location,source,calories_kcal,protein_g,carbohydrate_g,fat_g,fiber_g,sugar_g,sodium_mg,saturated_fat_g,nutriscore,nova_group,serving_size,quantity,salt_g
167599,"Udi's, Gluten Free, Soft & Hearty Whole Grain Bread",,,,USDA reference,USDA FoodData Central SR Legacy,,7.25,49.09,9.34,4.9,9.81,510.0,5.438,,,,,
167600,"Udi's, Gluten Free, Whole Grain Dinner Rolls",,,,USDA reference,USDA FoodData Central SR Legacy,,11.8,44.29,11.6,11.2,4.2,507.0,5.352,,,,,
167601,"Van's, Gluten Free, Totally Original Pancakes",,,,USDA reference,USDA FoodData Central SR Legacy,,3.31,40.32,4.55,1.5,4.06,331.0,2.376,,,,,
167602,"Seaweed, Canadian Cultivated EMI-TSUNOMATA, dry",,,,USDA reference,USDA FoodData Central SR Legacy,,15.34,46.24,1.39,36.7,,4331.0,0.11,,,,,
167603,"Seaweed, Canadian Cultivated EMI-TSUNOMATA, rehydrated",,,,USDA reference,USDA FoodData Central SR Legacy,,1.86,5.62,0.17,4.5,,526.0,0.01,,,,,
167604,"Potatoes, hash brown, refrigerated, unprepared",,,,USDA reference,USDA FoodData Central SR Legacy,,1.75,19.16,0.08,1.8,0.91,42.0,,,,,,
167605,"Potatoes, hash brown, refrigerated, prepared, pan-fried in canola oil",,,,USDA reference,USDA FoodData Central SR Legacy,,3.24,33.99,10.3,3.6,1.16,77.0,6.568,,,,,
167606,"Sweet Potatoes, french fried, frozen as packaged, salt added in processing",,,,USDA reference,USDA FoodData Central SR Legacy,,2.16,35.58,8.92,5.7,12.9,146.0,3.703,,,,,
167607,"Moose, meat, raw (Alaska Native)",,,,USDA reference,USDA FoodData Central SR Legacy,,22.3,0.0,1.5,0.0,0.0,65.0,0.15,,,,,
167608,"Mashu roots, raw (Alaska Native)",,,,USDA reference,USDA FoodData Central SR Legacy,,5.8,22.6,2.4,,,,,,,,,
167609,"Moose, liver, braised (Alaska Native)",,,,USDA reference,USDA FoodData Central SR Legacy,,24.38,3.43,4.89,,,70.0,0.65,,,,,
167610,"Seal, bearded (Oogruk), meat, raw (Alaska Native)",,,,USDA reference,USDA FoodData Central SR Legacy,,26.7,0.0,0.4,,,,,,,,,
167611,"Oil, bearded seal (Oogruk) (Alaska Native)",,,,USDA reference,USDA FoodData Central SR Legacy,,0.56,0.0,99.6,,,0.0,47.08,,,,,
167612,"Oopah (tunicate), whole animal (Alaska Native)",,,,USDA reference,USDA FoodData Central SR Legacy,,11.7,0.0,2.2,,,,,,,,,
167613,"Owl, horned, flesh, raw (Alaska Native)",,,,USDA reference,USDA FoodData Central SR Legacy,,22.7,0.0,5.0,,,,,,,,,
167614,"Fish, salmon, king, chinook, smoked and canned (Alaska Native)",,,,USDA reference,USDA FoodData Central SR Legacy,,23.2,0.0,5.9,,,,,,,,,
167615,"Fish, salmon, king, chinook, smoked, brined (Alaska Native)",,,,USDA reference,USDA FoodData Central SR Legacy,,39.9,0.0,30.0,0.0,,693.0,16.9,,,,,
167616,"Fish, salmon, king, chinook, liver (Alaska Native)",,,,USDA reference,USDA FoodData Central SR Legacy,,16.6,4.3,8.0,,,,,,,,,
167617,"Duck, scoter, white-winged, meat (Alaska Native)",,,,USDA reference,USDA FoodData Central SR Legacy,,20.2,0.0,0.4,,,,,,,,,
167618,"Sea cucumber, yane (Alaska Native)",,,,USDA reference,USDA FoodData Central SR Legacy,,13.0,0.0,0.4,,,,,,,,,
167619,"Squirrel, ground, meat (Alaska Native)",,,,USDA reference,USDA FoodData Central SR Legacy,,19.3,0.0,3.8,,,,,,,,,
167620,"Tea, tundra, herb and laborador combination (Alaska Native)",,,,USDA reference,USDA FoodData Central SR Legacy,,0.0,0.2,0.0,,,132.0,0.0,,,,,
167621,"Walrus, meat, dried (Alaska Native)",,,,USDA reference,USDA FoodData Central SR Legacy,,57.0,0.0,2.6,,,,,,,,,
167622,"Deer (venison), sitka, raw (Alaska Native)",,,,USDA reference,USDA FoodData Central SR Legacy,,21.5,0.0,2.66,,,,0.34,,,,,
167623,"Whale, bowhead, subcutaneous fat (blubber) (Alaska Native)",,,,USDA reference,USDA FoodData Central SR Legacy,,0.4,0.0,96.5,,,,,,,,,
167624,"Whale, bowhead, skin and subcutaneous fat (muktuk) (Alaska Native)",,,,USDA reference,USDA FoodData Central SR Legacy,,12.6,0.0,46.1,,,,28.12,,,,,
167625,"Oil, whale, bowhead (Alaska Native)",,,,USDA reference,USDA FoodData Central SR Legacy,,0.0,0.0,100.0,,,,,,,,,
167626,"Fish, whitefish, broad, liver (Alaska Native)",,,,USDA reference,USDA FoodData Central SR Legacy,,11.0,5.1,4.4,,,,,,,,,
167627,"Mush, blue corn with ash (Navajo)",,,,USDA reference,USDA FoodData Central SR Legacy,,0.66,11.74,0.49,1.1,0.19,8.0,0.109,,,,,
