food_id,food_name,brand,categories,countries,collection_location,calories_kcal,protein_g,carbohydrate_g,fat_g,fiber_g,sugar_g,sodium_mg,saturated_fat_g,salt_g,nutriscore,nova_group,serving_size,quantity,source
5018357012497,simply nutty muesli,dorset cereals,"Nuts, Mueslis with nuts",United Kingdom,UK,376.0,9.9,64.4,6.8,8.6,14.2,0.012,1.1,0.03,a,1.0,,560 g,Open Food Facts
5025125000105,Sourdough,Jason's,"Breads mith malted grains, Sourdough bread with malted grains",United Kingdom,UK,255.0,9.3,46.5,2.7,3.6,1.8,0.389,0.8,0.99,c,3.0,1 slice (64.5 g),450 g,Open Food Facts
50457243,Heinz Ketchup,Heinz,"Tomato Ketchup, Groceries","Ireland, Morocco, United Kingdom",UK,,,,,,,,,,a,3.0,15g,460 g,Open Food Facts
5070000126579,Granola Super Nutty,Bio&Me,Mueslis,"Ireland, United Kingdom",UK,402.0,10.9,50.2,14.4,14.4,9.6,0.012,2.2,0.03,a,4.0,,360g,Open Food Facts
5013665112235,Organic Chicken Stock Cubes -  8 Pack,Kallø,"Bouillon cubes, Dehydrated poultry stock, Organic-chicken-stock-cubes, Poultry-stock-for-sauce-and-cooking-dehydrated","France, United Kingdom",UK,7.0,0.1,0.7,0.5,,0.1,0.36,0.2,0.9,unknown,4.0,11g,88 g,Open Food Facts
5010029000801,Weetabix,Weetabix,Breakfast cereals rich in fibre,"France, Ireland, Portugal, Spain, United Kingdom",UK,354.66667,11.0,68.0,2.0,10.0,4.2,0.112,0.6,0.28,a,3.0,37.5g,860 g,Open Food Facts
5036589252450,Kefir Fermented Natural Yogurt with Live Kefir Cultures,Yeo Valley Organic,Kefir yogurts,"France, United Kingdom",UK,64.0,4.7,5.4,2.1,,5.4,0.048,1.4,0.12,b,,1 serving (100 g),350g,Open Food Facts
5059697731860,Dark Chocolate,Tesco finest,Dark chocolate bar,United Kingdom,UK,591.0,6.9,34.7,44.8,10.5,23.6,0.004,27.1,0.01,d,4.0,1 portion (10 g),100g,Open Food Facts
4088600065991,White Sourdough,Specially Selected,"Breads, Bread flours, Sourdough, Vegetarian",United Kingdom,UK,252.5,9.4,44.6,0.7,4.5,1.9,0.346,0.1,0.865,b,3.0,58 g,500g,Open Food Facts
8718114724485,mayonnaise,Hellmann's,"Fats, Mayonnaises","France, Ireland, United Kingdom",UK,723.333333333333,1.1,1.4,79.0,,1.3,0.6,6.3,1.5,c,4.0,1 portion (14 g),"750 ml / 705 g, approx. 50 portions",Open Food Facts
5201054017432,Total 5% Fat Greek Yogurt,FAGE,"Cow milk yogurts, Greek-style yogurts","Greece, Ireland, United Kingdom",UK,93.0,9.0,3.0,5.0,,3.0,0.039,3.6,0.1,b,,1 serving (100 g),450 g,Open Food Facts
5057967395071,White Sourdough Bread,Tesco finest,Breads,United Kingdom,UK,229.0,8.2,45.1,0.9,3.7,2.7,0.33,0.1,0.7675,b,3.0,1 portion (100 g),400g,Open Food Facts
4088600247519,Wheat Bisks,Harvest Morn,Cereal flakes,"Ireland, United Kingdom",UK,352.631578947368,12.0,68.0,2.0,10.0,4.4,0.112,0.6,0.28,a,3.0,2 serving (34 g),684 g,Open Food Facts
5060337220415,kefir drink original,Biotiful gut health,Kefir,"France, Germany, Ireland, Netherlands, United Kingdom",UK,59.0,3.5,4.6,2.9,,2.8,0.0001,2.1,0.00025,b,1.0,2 portion (250 g),500 ml,Open Food Facts
